"Živorojeni po dnevu rojstva, Slovenija, meseèno"

"MESEC","Dan rojstva - SKUPAJ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"2006M10",1738,49,53,71,71,68,53,44,40,74,62,65,59,60,40,48,53,51,58,61,69,50,48,57,64,54,63,46,45,53,63,46
"2006M11",1510,37,51,55,51,50,56,59,50,57,57,45,59,63,50,55,56,50,39,23,48,48,55,53,45,39,37,50,48,60,64,-
"2006M12",1454,64,40,49,53,56,44,49,49,42,36,46,53,45,51,55,38,25,46,47,53,47,58,35,41,35,46,55,42,58,48,48
"2007M01",1564,49,41,57,41,61,48,44,32,51,63,76,57,40,42,54,49,51,53,61,45,42,55,55,49,49,61,48,37,54,52,47
"2007M02",1462,56,59,54,32,60,64,64,43,68,48,39,51,55,50,53,63,43,27,43,70,46,64,71,47,28,55,56,53,-,-,-
"2007M03",1704,54,57,58,41,62,61,60,62,65,40,44,52,50,65,73,48,42,45,54,53,60,50,59,41,50,72,60,49,69,63,45
"2007M04",1509,42,57,54,47,56,57,43,45,42,55,53,58,47,35,52,56,58,55,51,55,32,31,57,56,52,63,61,44,39,56,-
"2007M05",1684,50,39,44,80,47,39,67,56,71,56,74,39,39,60,49,64,68,60,37,39,53,66,68,57,49,42,39,56,64,56,56
"2007M06",1748,70,41,49,67,63,54,64,58,42,40,55,59,66,62,63,47,50,61,58,69,82,76,54,38,58,66,75,64,54,43,-
"2007M07",1769,46,56,58,64,59,63,50,46,65,62,64,59,45,48,45,63,51,55,59,73,56,49,69,62,62,55,63,72,43,52,55
"2007M08",1765,51,66,57,44,32,64,65,62,74,63,35,39,62,75,45,67,61,46,42,70,56,56,66,71,50,46,60,54,62,66,58
"2007M09",1736,53,42,59,65,58,61,63,54,49,62,49,68,68,64,45,42,57,64,55,56,79,62,51,52,58,59,67,70,64,40,-
"2007M10",1782,66,63,68,65,74,61,35,59,45,49,52,64,39,49,68,59,66,57,64,39,33,60,69,81,60,67,50,42,65,64,49
"2007M11",1554,37,55,55,48,58,53,55,49,62,53,46,60,51,63,42,55,51,50,53,44,40,53,47,41,39,50,52,69,61,62,-
"2007M12",1546,51,32,75,49,51,62,57,40,32,55,52,40,44,64,49,41,60,44,52,66,63,41,35,56,41,45,65,65,48,37,34
"2008M01",1830,43,44,68,62,49,46,67,68,49,67,66,66,41,78,50,59,58,58,47,59,55,68,68,58,69,56,42,63,62,69,75
"2008M02",1597,65,52,41,62,56,59,66,48,46,34,62,59,64,64,61,43,34,72,52,57,55,67,42,54,69,59,54,52,48,-,-
"2008M03",1714,46,40,66,56,59,65,79,43,33,57,76,59,62,53,41,48,46,67,69,63,60,54,49,48,57,59,48,62,49,37,63
"2008M04",1716,48,60,59,69,55,44,62,59,66,60,75,52,40,60,49,54,54,54,43,49,52,70,58,78,61,48,40,67,64,66,-
"2008M05",1834,47,53,51,43,57,62,59,71,71,64,55,50,60,64,78,79,48,67,64,54,53,73,58,48,49,60,61,51,73,68,43
"2008M06",1784,42,65,58,46,61,81,41,39,63,69,57,60,58,49,42,60,75,55,55,74,52,47,61,82,68,72,78,60,53,61,-
"2008M07",2020,74,91,56,74,69,60,64,67,77,77,71,59,57,57,65,55,64,66,57,47,70,68,54,73,76,43,59,68,74,70,58
"2008M08",1932,81,61,53,65,68,65,62,89,47,42,66,77,72,71,40,53,48,68,74,76,70,65,46,51,64,73,55,70,61,42,57
"2008M09",1943,61,54,67,80,69,49,45,69,71,76,65,74,53,53,71,68,75,77,61,68,38,81,73,79,65,65,52,59,56,69,-
"2008M10",1870,65,63,56,60,49,57,67,71,78,69,42,40,59,59,67,61,67,47,37,70,80,64,77,72,52,44,66,58,56,72,45
"2008M11",1745,38,44,58,66,61,81,59,51,45,53,60,53,60,56,58,68,39,69,46,71,76,51,43,64,75,79,62,76,41,42,-
"2008M12",1832,67,72,62,71,78,42,56,46,68,52,66,69,43,48,71,57,67,73,54,45,50,63,72,64,46,40,42,46,64,68,70
"2009M01",1879,47,44,49,48,80,82,71,60,74,50,48,78,65,55,65,70,58,37,75,63,47,63,71,65,62,61,62,46,62,67,54
"2009M02",1538,45,64,73,52,53,64,49,43,61,61,51,65,61,47,55,66,56,55,55,56,49,45,61,46,52,56,58,39,-,-,-
"2009M03",1767,43,62,72,70,64,63,53,44,60,65,44,59,72,48,37,49,52,55,66,62,46,40,60,61,68,49,79,43,49,71,61
"2009M04",1744,50,78,71,41,51,63,65,49,66,64,44,56,47,72,68,57,61,49,58,65,57,55,56,51,52,41,46,68,64,79,-
"2009M05",1907,65,39,55,78,66,67,69,75,68,48,54,64,71,59,66,59,47,65,72,66,83,54,41,52,71,68,75,51,61,54,44
"2009M06",1847,62,65,65,72,61,55,41,59,64,77,57,66,49,33,72,51,65,78,58,53,50,70,69,66,70,88,54,52,66,59,-
"2009M07",2027,71,71,79,50,54,68,47,65,78,84,49,44,71,75,70,58,77,69,59,64,73,68,65,74,58,39,78,74,65,73,57
"2009M08",1892,44,51,61,61,74,71,63,51,50,67,52,49,65,67,55,53,69,74,68,76,64,56,48,65,66,60,65,72,49,50,76
"2009M09",1902,61,71,78,63,51,43,66,62,75,70,63,51,56,65,50,70,68,67,58,47,79,80,76,69,79,42,59,70,55,58,-
"2009M10",1874,72,74,58,52,64,64,55,65,61,55,56,44,54,69,67,72,41,41,63,61,58,61,67,60,52,68,58,65,64,80,53
"2009M11",1676,42,61,61,49,57,69,54,56,61,65,56,71,60,43,41,56,57,62,56,51,34,40,66,54,61,61,74,44,50,64,-
"2009M12",1803,63,63,51,71,63,57,64,66,42,62,61,56,42,54,62,66,71,78,52,47,67,54,60,58,42,41,48,66,64,64,48
"2010M01",1876,38,57,49,76,77,59,61,71,51,51,78,64,61,59,67,51,50,62,62,68,78,69,48,48,78,58,54,65,66,49,51
"2010M02",1712,52,65,61,64,75,49,49,56,67,72,79,78,54,59,55,62,58,60,64,52,54,73,81,58,66,66,50,33,-,-,-
"2010M03",1898,71,69,70,72,64,45,45,62,66,65,78,64,54,51,69,67,59,55,75,62,48,52,49,60,68,74,62,46,67,51,58
"2010M04",1775,61,70,54,48,38,60,66,60,75,53,46,70,55,67,75,76,46,46,57,61,61,65,70,38,53,67,48,66,72,51,-
"2010M05",1863,46,54,56,66,60,71,77,63,41,79,67,60,59,70,57,42,70,63,63,68,61,48,43,64,75,61,73,59,43,52,52
"2010M06",1844,76,74,60,76,52,48,69,58,56,61,72,53,47,62,60,57,66,69,56,41,62,61,64,68,41,60,56,61,78,80,-
"2010M07",1991,77,88,50,62,66,69,55,65,72,39,45,74,62,84,58,61,50,45,48,64,76,80,74,53,56,75,72,78,54,76,63
"2010M08",1907,53,81,72,65,60,73,48,50,59,64,74,51,68,53,58,73,71,64,62,66,51,42,69,63,60,54,71,55,44,69,64
"2010M09",1979,58,68,77,56,57,85,67,74,69,54,49,57,61,55,79,69,62,61,46,90,85,83,68,58,61,47,85,71,64,63,-
"2010M10",1958,77,58,53,63,51,72,80,83,35,47,70,65,67,49,74,60,38,50,87,82,60,69,52,51,67,76,66,68,76,59,53
"2010M11",1759,39,51,56,65,80,51,49,82,61,62,72,79,45,47,62,59,61,55,59,44,49,57,56,54,56,78,51,39,74,66,-
"2010M12",1781,58,65,64,48,48,64,56,68,59,63,55,41,58,62,59,60,64,40,40,62,72,62,81,71,45,42,65,48,60,61,40
"2011M01",1868,47,43,65,73,59,76,58,53,55,71,60,59,58,89,41,46,56,62,60,74,86,51,56,46,77,59,54,73,42,48,71
"2011M02",1603,72,62,65,70,55,36,53,51,59,67,60,36,56,65,57,60,52,59,45,43,56,58,64,81,63,46,48,64,-,-,-
"2011M03",1815,60,45,63,73,42,46,71,57,57,69,64,47,56,73,58,50,71,62,43,51,68,60,56,54,65,58,45,60,67,58,66
"2011M04",1790,74,37,52,66,53,56,63,78,48,57,61,55,61,68,60,45,55,52,52,62,72,71,50,52,63,86,56,71,68,46,-
"2011M05",1829,62,39,55,68,66,68,65,47,59,51,61,59,56,45,34,77,49,78,64,75,52,54,66,58,79,68,60,46,25,70,73
"2011M06",1794,59,64,52,42,62,45,64,66,65,58,44,49,62,59,56,78,60,62,39,61,70,65,57,74,43,50,73,71,67,77,-
"2011M07",2013,67,54,54,57,76,71,70,71,57,54,61,76,65,68,66,47,52,68,64,84,81,56,64,49,90,58,60,74,79,62,58
"2011M08",2027,63,75,71,82,68,41,55,96,66,62,73,63,66,56,48,75,64,71,76,53,52,75,69,68,74,77,50,45,60,67,66
"2011M09",1932,64,69,68,33,55,59,69,65,73,56,59,88,66,66,59,76,54,57,59,80,76,67,80,61,42,76,60,57,67,71,-
"2011M10",1780,46,58,59,61,59,61,73,53,34,50,60,58,70,59,53,30,68,61,61,76,67,43,49,58,70,71,48,71,49,48,56
"2011M11",1785,57,62,71,76,51,45,59,54,68,74,76,46,43,71,57,65,54,64,55,44,53,62,48,75,61,63,47,64,58,62,-
"2011M12",1711,71,59,35,44,64,55,51,47,69,43,38,66,60,71,62,75,37,52,62,78,65,45,57,39,44,48,66,59,55,53,41
"2012M01",1852,47,45,55,54,62,77,44,65,60,54,67,74,77,50,54,58,65,50,48,71,48,47,74,83,65,64,46,63,51,75,59
"2012M02",1670,52,61,61,37,54,70,70,46,62,64,47,47,69,63,73,62,82,49,51,52,51,60,62,55,56,40,66,57,51,-,-
"2012M03",1704,69,72,55,39,63,51,43,64,53,40,32,63,60,59,68,58,43,37,53,68,58,66,66,41,32,56,63,55,71,66,40
"2012M04",1791,48,52,58,66,74,62,44,44,60,60,63,67,61,50,52,62,65,65,48,72,51,52,59,71,70,89,56,59,46,65,-
"2012M05",1903,54,48,66,84,62,53,74,67,73,65,74,56,49,71,70,62,60,74,55,42,65,58,65,73,60,45,44,57,69,56,52
"2012M06",1758,64,51,36,68,49,75,62,56,50,37,70,58,58,62,58,52,50,57,50,75,63,71,57,44,65,75,65,73,60,47,-
"2012M07",1945,36,77,68,65,76,73,47,42,59,72,75,52,72,44,51,57,81,77,61,69,52,53,61,71,71,61,81,52,52,73,64
"2012M08",1979,72,67,74,48,55,57,72,65,58,79,54,45,66,68,56,74,71,43,61,81,80,73,80,63,48,55,66,63,56,70,59
"2012M09",1967,57,44,71,83,59,84,68,59,54,65,71,72,68,73,62,61,56,75,61,81,68,51,47,71,88,69,61,80,61,47,-
"2012M10",1936,72,73,71,64,59,42,57,72,59,77,59,69,57,43,63,82,66,65,74,51,43,69,63,65,68,61,46,51,73,74,48
"2012M11",1770,48,79,66,36,62,59,74,68,74,44,54,87,69,56,63,64,55,37,62,53,53,62,73,49,32,49,65,69,53,55,-
"2012M12",1663,52,40,66,56,61,64,57,45,38,74,54,76,64,51,46,44,67,62,53,55,68,41,42,63,27,55,55,63,36,34,54
"2013M01",1727,46,54,49,54,40,45,58,46,58,64,68,58,48,66,63,64,58,72,49,64,69,60,55,59,63,37,30,69,51,47,63
"2013M02",1495,48,53,52,53,63,53,71,46,45,35,58,70,56,57,59,46,39,48,49,59,57,56,47,44,48,59,55,69,-,-,-
"2013M03",1730,67,41,43,73,53,65,54,73,44,48,64,67,70,58,66,48,42,50,50,63,64,63,46,51,58,48,58,66,55,45,37
"2013M04",1623,41,54,60,49,64,55,46,57,63,58,47,58,38,38,72,55,64,71,55,48,34,64,55,52,60,54,44,46,59,62,-
"2013M05",1841,55,49,72,48,65,58,66,72,58,56,50,46,73,54,65,64,61,43,45,73,66,55,54,61,42,56,60,71,69,62,72
"2013M06",1752,36,47,82,66,56,60,50,49,60,73,67,53,70,55,43,42,65,59,69,66,50,57,47,69,41,67,73,68,55,57,-
"2013M07",1957,75,63,68,74,64,59,53,57,52,76,73,68,36,60,68,62,60,65,84,44,77,65,73,67,69,49,63,42,68,67,56
"2013M08",1920,73,72,57,56,62,73,61,73,67,64,48,66,61,57,58,65,47,61,68,77,60,68,71,45,42,64,64,63,69,70,38
"2013M09",1897,51,63,80,67,54,73,40,49,83,65,53,60,64,48,51,72,73,68,64,64,68,43,71,68,77,75,67,56,53,77,-
"2013M10",1877,74,61,67,77,78,43,79,63,56,59,63,58,39,57,70,62,77,74,54,46,65,52,52,53,55,46,65,64,52,69,47
"2013M11",1672,28,42,46,66,74,70,72,58,36,38,54,71,49,59,72,45,41,53,57,60,63,70,43,44,62,60,61,69,55,54,-
"2013M12",1620,44,54,49,49,57,54,50,43,77,67,51,47,53,43,44,61,48,61,66,70,47,37,62,60,46,41,56,50,47,44,42
"2014M01",1760,50,73,57,42,61,56,73,63,56,64,43,45,58,55,44,68,72,49,56,59,50,55,51,64,39,40,79,60,58,65,55
"2014M02",1532,44,48,54,57,51,69,61,40,36,54,55,56,56,67,47,50,53,60,57,63,60,56,39,53,70,60,52,64,-,-,-
"2014M03",1701,55,52,68,51,43,57,67,52,35,56,60,65,57,58,52,58,61,59,58,56,57,55,43,58,51,52,55,66,46,43,55
"2014M04",1794,51,51,63,59,41,39,64,70,72,63,72,45,41,69,64,65,61,61,59,41,41,78,62,76,79,56,41,73,66,71,-
"2014M05",1806,55,55,51,45,64,71,68,62,54,44,43,67,61,61,56,58,52,40,57,59,61,78,56,62,35,70,65,62,66,73,55
"2014M06",1767,39,58,59,54,63,70,49,44,69,67,69,67,59,51,44,52,66,68,55,62,56,56,60,74,50,64,75,50,51,66,-
"2014M07",1954,61,59,70,65,47,40,65,63,61,73,76,48,63,87,64,73,73,50,68,60,68,57,75,74,63,56,36,64,66,70,59
"2014M08",1934,60,58,60,77,79,63,66,67,54,52,80,55,62,84,56,51,58,63,60,64,77,72,42,39,70,53,75,63,71,60,43
"2014M09",1845,68,54,52,65,65,48,29,58,69,69,68,62,54,43,65,84,71,73,72,65,47,70,67,70,61,72,49,46,71,58,-
"2014M10",1853,78,64,62,54,42,77,70,57,53,77,40,42,66,57,71,68,68,46,50,63,69,61,62,62,41,59,55,63,71,57,48
"2014M11",1588,41,52,60,60,55,71,61,54,42,63,63,60,49,60,33,44,64,46,41,56,61,53,35,56,56,52,51,61,53,35,-
"2014M12",1631,57,56,59,52,56,35,42,64,64,37,54,63,38,33,56,66,63,61,60,41,44,64,58,62,43,45,42,54,57,53,52
"2015M01",1729,38,65,59,53,63,67,53,59,54,44,37,56,67,63,63,74,54,47,58,66,63,56,61,41,38,63,51,44,59,67,46
"2015M02",1560,43,71,59,56,68,64,51,41,66,58,53,69,50,44,40,49,67,64,48,62,42,48,68,61,61,55,63,39,-,-,-
"2015M03",1599,36,49,61,55,63,80,29,44,44,67,52,57,60,39,48,51,66,63,59,56,35,36,51,59,51,33,54,51,40,43,67
"2015M04",1662,52,43,59,40,38,51,59,66,55,89,39,37,65,62,58,61,67,45,45,75,55,53,62,65,44,44,54,47,70,62,-
"2015M05",1826,49,55,49,82,62,61,57,66,54,54,68,60,75,69,68,46,48,53,56,65,52,66,49,54,85,59,52,55,56,51,50
"2015M06",1802,66,66,59,62,58,52,39,64,66,56,61,67,45,33,76,71,70,72,56,54,47,59,55,83,65,67,54,51,60,68,-
"2015M07",1910,64,76,74,50,51,82,75,78,54,61,49,50,61,67,65,57,65,48,52,61,71,58,50,63,40,52,69,54,66,76,71
"2015M08",1820,53,42,60,49,70,58,75,64,40,50,73,67,47,59,57,46,69,73,67,70,58,54,48,61,73,58,51,58,48,54,68
"2015M09",1807,58,63,58,59,50,44,68,73,62,67,56,39,38,58,58,64,47,69,38,60,65,79,81,70,83,54,48,54,74,70,-
"2015M10",1759,77,67,54,48,72,71,78,63,56,55,36,68,54,50,46,57,59,40,57,53,62,65,60,35,47,59,63,50,55,52,50
"2015M11",1608,39,68,51,52,56,63,51,42,55,58,56,46,60,46,52,56,67,51,60,69,44,51,65,47,58,46,53,36,50,60,-
"2015M12",1559,42,56,53,68,48,53,62,46,46,55,62,39,42,63,65,66,60,46,43,46,53,51,59,39,36,36,42,44,44,49,45
